2025-10-17 10:20:43.623 [main] INFO  c.m.onboarding.OnboardingApplication - [] Starting OnboardingApplication using Java 23.0.1 with PID 32384 (C:\Users\Lucas\Documents\Projects\testes\onboarding\target\classes started by Lucas in C:\Users\Lucas\Documents\Projects\testes\onboarding)
2025-10-17 10:20:43.625 [main] INFO  c.m.onboarding.OnboardingApplication - [] No active profile set, falling back to 1 default profile: "default"
2025-10-17 10:20:44.893 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Starting...
2025-10-17 10:20:45.051 [main] INFO  com.zaxxer.hikari.pool.HikariPool - [] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@7e8279e5
2025-10-17 10:20:45.056 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Start completed.
2025-10-17 10:20:46.158 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - [] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-10-17 10:20:46.608 [main] INFO  c.m.onboarding.OnboardingApplication - [] Started OnboardingApplication in 3.448 seconds (process running for 3.73)
2025-10-17 11:09:20.985 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Shutdown initiated...
2025-10-17 11:09:20.987 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Shutdown completed.
2025-10-17 11:09:25.614 [main] INFO  c.m.onboarding.OnboardingApplication - [] Starting OnboardingApplication using Java 23.0.1 with PID 17696 (C:\Users\Lucas\Documents\Projects\testes\onboarding\target\classes started by Lucas in C:\Users\Lucas\Documents\Projects\testes\onboarding)
2025-10-17 11:09:25.616 [main] INFO  c.m.onboarding.OnboardingApplication - [] No active profile set, falling back to 1 default profile: "default"
2025-10-17 11:09:26.947 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Starting...
2025-10-17 11:09:27.108 [main] INFO  com.zaxxer.hikari.pool.HikariPool - [] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@794f11cd
2025-10-17 11:09:27.109 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Start completed.
2025-10-17 11:09:28.485 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - [] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-10-17 11:09:28.790 [main] INFO  c.m.onboarding.OnboardingApplication - [] Started OnboardingApplication in 3.649 seconds (process running for 3.941)
2025-10-17 11:12:11.513 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Shutdown initiated...
2025-10-17 11:12:11.522 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Shutdown completed.
2025-10-17 11:12:13.413 [main] INFO  c.m.onboarding.OnboardingApplication - [] Starting OnboardingApplication using Java 23.0.1 with PID 57800 (C:\Users\Lucas\Documents\Projects\testes\onboarding\target\classes started by Lucas in C:\Users\Lucas\Documents\Projects\testes\onboarding)
2025-10-17 11:12:13.414 [main] INFO  c.m.onboarding.OnboardingApplication - [] No active profile set, falling back to 1 default profile: "default"
2025-10-17 11:12:14.590 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - [] Tomcat initialized with port 8080 (http)
2025-10-17 11:12:14.657 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [] Root WebApplicationContext: initialization completed in 1190 ms
2025-10-17 11:12:14.794 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Starting...
2025-10-17 11:12:14.983 [main] INFO  com.zaxxer.hikari.pool.HikariPool - [] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@7bee8621
2025-10-17 11:12:14.984 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Start completed.
2025-10-17 11:12:16.474 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - [] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-10-17 11:12:16.772 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - [] Tomcat started on port 8080 (http) with context path '/mybank'
2025-10-17 11:12:16.779 [main] INFO  c.m.onboarding.OnboardingApplication - [] Started OnboardingApplication in 3.89 seconds (process running for 4.196)
2025-10-17 11:13:34.578 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - [] Commencing graceful shutdown. Waiting for active requests to complete
2025-10-17 11:13:34.582 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - [] Graceful shutdown complete
2025-10-17 11:13:34.586 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Shutdown initiated...
